District_Name,UnitName,FIRST_YEAR,LAST_YEAR,YEARS_RECORDED,TOTAL_FIRs,HEINOUS_FIRs,NON_HEINOUS_FIRs,HEINOUS_RATIO,FIRs_PER_YEAR,CRIME_VOLUME_SCALED,RISK_SCORE_NORM,SAFETY_INDEX,Latitude_mean,Longitude_mean,RISK_LEVEL
BENGALURU CITY,MADIVALA PS,2016,2024,7,1037,535,502,1,76.43,0.17357002,0.17357002,82.64,12.8783105,77.60725375,MEDIUM
BENGALURU CITY,MALLESHWARAM PS,2016,2024,9,1334,702,632,1,78,0.177186062,0.177186062,82.28,12.88173895,77.46992573,MEDIUM
BENGALURU CITY,HANUMANTHANAGAR PS,2016,2024,9,1322,708,614,1,78.67,0.17872014,0.17872014,82.13,12.93892312,77.55506614,MEDIUM
BENGALURU CITY,SADASHIVANAGAR PS,2016,2024,9,1390,721,669,1,80.11,0.182043977,0.182043977,81.8,13.01949931,77.55931704,MEDIUM
BENGALURU CITY,JALAHALLI TRAFFIC PS,2016,2024,9,1385,736,649,1,81.78,0.185879173,0.185879173,81.41,13.07070565,77.50785673,MEDIUM
BENGALURU CITY,KORAMANGALA PS,2016,2024,7,1118,573,545,1,81.86,0.186061801,0.186061801,81.39,12.93523909,77.62148427,MEDIUM
BENGALURU CITY,MAGADI ROAD TRAFFIC PS,2016,2024,9,1466,750,716,1,83.33,0.189458689,0.189458689,81.05,12.95564688,77.54933069,MEDIUM
BENGALURU CITY,BAGALUR PS,2017,2024,8,1337,698,639,1,87.25,0.1984714,0.1984714,80.15,13.13081771,77.65518956,MEDIUM
BENGALURU CITY,K.R.PURAM TRAFFIC PS,2016,2024,8,1281,705,576,1,88.12,0.200484878,0.200484878,79.95,13.01018869,77.67901231,MEDIUM
BENGALURU CITY,WILSONGARDEN PS,2016,2024,7,1201,617,584,1,88.14,0.20052597,0.20052597,79.95,12.94205179,77.58792403,MEDIUM
BENGALURU CITY,HEBBAL PS,2016,2024,9,1566,804,762,1,89.33,0.203265396,0.203265396,79.67,13.03847803,77.59857174,MEDIUM
BENGALURU CITY,CHIKKAJALA PS,2018,2024,7,1200,633,567,1,90.43,0.205785667,0.205785667,79.42,13.16547346,77.62624279,MEDIUM
BENGALURU CITY,KADUGODI PS,2016,2024,9,1615,830,785,1,92.22,0.209913069,0.209913069,79.01,12.99634132,77.74345577,MEDIUM
BENGALURU CITY,HENNUR PS,2016,2024,8,1409,744,665,1,93,0.211702827,0.211702827,78.83,13.09972269,77.64062528,MEDIUM
BENGALURU CITY,BYADARAHALLI PS,2018,2024,6,1089,559,530,1,93.17,0.212086347,0.212086347,78.79,12.92705662,77.44351676,MEDIUM
BENGALURU CITY,CHANNAMMANAKERE ACHU KATTU PS,2016,2024,9,1583,845,738,1,93.89,0.213748265,0.213748265,78.63,12.87383326,77.55784439,MEDIUM
BENGALURU CITY,SUBRAMANYANAGAR PS,2016,2024,9,1585,860,725,1,95.56,0.217583461,0.217583461,78.24,12.99683549,77.54943632,MEDIUM
BENGALURU CITY,V V PURAM TRAFFIC PS,2016,2024,9,1690,864,826,1,96,0.21860618,0.21860618,78.14,12.72081715,77.42015739,MEDIUM
BENGALURU CITY,RAJARAJESHWARI NAGAR PS,2016,2024,9,1638,875,763,1,97.22,0.221418657,0.221418657,77.86,12.77610652,77.47927199,MEDIUM
BENGALURU CITY,JALAHALLI PS,2016,2024,9,1673,884,789,1,98.22,0.223719775,0.223719775,77.63,13.0468708,77.54693487,MEDIUM
BENGALURU CITY,ELECTRONIC CITY PS,2016,2024,8,1517,786,731,1,98.25,0.223783695,0.223783695,77.62,12.78234927,77.60598767,MEDIUM
BENGALURU CITY,BANDEPALYA PS,2019,2024,6,1151,591,560,1,98.5,0.224358974,0.224358974,77.56,12.88825516,77.63488525,MEDIUM
BENGALURU CITY,SADASHIVANAGAR TRAFFIC PS,2016,2024,8,1626,831,795,1,103.88,0.236727482,0.236727482,76.33,13.00864412,77.53580013,MEDIUM
BENGALURU CITY,KOTHANUR PS,2020,2024,5,993,520,473,1,104,0.237015122,0.237015122,76.3,13.07002409,77.63541009,MEDIUM
BENGALURU CITY,SUBRAMANYAPURA PS,2016,2024,9,1879,970,909,1,107.78,0.245708233,0.245708233,75.43,12.86760578,77.51077943,MEDIUM
BENGALURU CITY,VISHVESHWARAPURAM PS,2016,2024,9,1851,970,881,1,107.78,0.245708233,0.245708233,75.43,12.93542644,77.57255473,MEDIUM
BENGALURU CITY,JAGAJEEVANRAM NAGAR PS,2016,2024,8,1706,878,828,1,109.75,0.250246548,0.250246548,74.98,12.68146991,77.38991905,MEDIUM
BENGALURU CITY,COTTONPET PS,2017,2024,5,1068,553,515,1,110.6,0.252202498,0.252202498,74.78,12.96469736,77.56856663,MEDIUM
BENGALURU CITY,RAJAJINAGAR PS,2016,2024,9,1915,1010,905,1,112.22,0.255935423,0.255935423,74.41,12.98137893,77.55427072,MEDIUM
BENGALURU CITY,VIJAYANAGAR PS,2016,2024,7,1447,787,660,1,112.43,0.256410256,0.256410256,74.36,12.90942107,77.50705711,MEDIUM
BENGALURU CITY,HALASURGATE PS,2016,2024,9,1985,1022,963,1,113.56,0.25900358,0.25900358,74.1,12.96746004,77.58295614,MEDIUM
BENGALURU CITY,THALAGHATTAPURA TRAFFIC PS,2023,2024,2,443,232,211,1,116,0.264628534,0.264628534,73.54,12.87446099,77.52205692,MEDIUM
BENGALURU CITY,RAJAJINAGAR TRAFFIC PS,2016,2024,9,2042,1050,992,1,116.67,0.266162612,0.266162612,73.38,12.91119789,77.42796432,MEDIUM
BENGALURU CITY,SOUTHEAST CEN CRIME PS,2020,2024,5,1190,595,595,1,119,0.271531887,0.271531887,72.85,12.88181652,77.64606006,MEDIUM
BENGALURU CITY,VYALIKAVAL PS,2016,2024,9,2074,1072,1002,1,119.11,0.271787567,0.271787567,72.82,12.99937761,77.5685603,MEDIUM
BENGALURU CITY,EAST CEN CRIME PS,2022,2024,3,727,364,363,1,121.33,0.276901162,0.276901162,72.31,12.98793808,77.60358996,MEDIUM
BENGALURU CITY,YELAHANKA NEW TOWN PS,2019,2024,6,1416,731,685,1,121.83,0.27805172,0.27805172,72.19,13.10692252,77.56416678,MEDIUM
BENGALURU CITY,JEEVAN BHEEMANAGAR PS,2016,2024,9,2109,1099,1010,1,122.11,0.27869092,0.27869092,72.13,12.96260143,77.64886477,MEDIUM
BENGALURU CITY,BANASWADI PS,2017,2024,6,1476,756,720,1,126,0.287639711,0.287639711,71.24,13.11979036,77.56147451,HIGH
BENGALURU CITY,MARATHAHALLI PS,2017,2024,6,1486,760,726,1,126.67,0.289173789,0.289173789,71.08,12.87163918,77.63530854,HIGH
BENGALURU CITY,PARAPPANA AGRAHARA PS,2019,2024,6,1504,766,738,1,127.67,0.291474907,0.291474907,70.85,12.85356419,77.65116736,HIGH
BENGALURU CITY,HALASUR PS,2016,2024,9,2216,1158,1058,1,128.67,0.293776025,0.293776025,70.62,12.96994081,77.62562806,HIGH
BENGALURU CITY,SOLADEVANAHALLI PS,2016,2024,9,2216,1167,1049,1,129.67,0.296077142,0.296077142,70.39,13.1036716,77.50980784,HIGH
BENGALURU CITY,MAHADEVAPURA PS,2017,2024,7,1767,908,859,1,129.71,0.296186719,0.296186719,70.38,12.97793104,77.68383006,HIGH
BENGALURU CITY,WHITEFIELD PS,2016,2024,8,2062,1045,1017,1,130.62,0.29828238,0.29828238,70.17,12.95678012,77.73214703,HIGH
BENGALURU CITY,VIDYARANYAPURA PS,2016,2024,9,2437,1259,1178,1,139.89,0.319599679,0.319599679,68.04,13.07114849,77.51725256,HIGH
BENGALURU CITY,SAMPIGEHALLI PS,2016,2024,9,2407,1262,1145,1,140.22,0.320366718,0.320366718,67.96,13.07216894,77.62645355,HIGH
BENGALURU CITY,VIVEKNAGAR PS,2016,2024,9,2439,1264,1175,1,140.44,0.320878077,0.320878077,67.91,12.94738911,77.62226747,HIGH
BENGALURU CITY,CENTRAL CEN CRIME PS,2022,2024,3,846,423,423,1,141,0.322156476,0.322156476,67.78,12.75281374,77.48439538,HIGH
BENGALURU CITY,UPPARPET TRAFFIC PS,2016,2024,5,1409,711,698,1,142.2,0.324917817,0.324917817,67.51,12.93658563,77.57273849,HIGH
BENGALURU CITY,ELECTRONIC CITY TRAFFIC PS,2016,2024,9,2421,1324,1097,1,147.11,0.336218862,0.336218862,66.38,12.79008617,77.5779841,HIGH
BENGALURU CITY,HIGH GROUNDS PS,2016,2024,9,2567,1332,1235,1,148,0.3382643,0.3382643,66.17,12.80710024,77.47588406,HIGH
BENGALURU CITY,GIRINAGAR PS,2016,2024,9,2578,1340,1238,1,148.89,0.340309738,0.340309738,65.97,12.89374043,77.52950968,HIGH
BENGALURU CITY,BASAVANAGUDI PS,2016,2024,9,2535,1354,1181,1,150.44,0.343889254,0.343889254,65.61,12.92296515,77.59051423,HIGH
BENGALURU CITY,WHITEFIELD CEN CRIME PS,2021,2024,3,916,458,458,1,152.67,0.349002849,0.349002849,65.1,12.93277052,77.64388239,HIGH
BENGALURU CITY,R.T. NAGAR PS,2016,2024,9,2683,1389,1294,1,154.33,0.352838045,0.352838045,64.72,13.02835653,77.58040758,HIGH
BENGALURU CITY,JNANABHARATHI PS,2017,2024,6,1740,932,808,1,155.33,0.355139163,0.355139163,64.49,12.89632725,77.46828377,HIGH
BENGALURU CITY,BELLANDURU PS,2017,2024,8,2476,1256,1220,1,157,0.358974359,0.358974359,64.1,12.91226022,77.67597178,HIGH
BENGALURU CITY,HULIMAVU PS,2016,2024,9,2818,1459,1359,1,162.11,0.370735627,0.370735627,62.93,12.65066644,77.46080019,HIGH
BENGALURU CITY,DEVANAHALLI TRAFFIC PS,2017,2024,8,2465,1320,1145,1,165,0.3773833,0.3773833,62.26,13.22218465,77.67440432,HIGH
BENGALURU CITY,KEMPAPURA AGRAHARA PS,2016,2024,9,2889,1508,1381,1,167.56,0.383263935,0.383263935,61.67,12.95800086,77.55854705,HIGH
BENGALURU CITY,NORTH CEN CRIME PS,2022,2024,3,1013,508,505,1,169.33,0.38735481,0.38735481,61.26,13.0174689,77.55772869,HIGH
BENGALURU CITY,RAJAGOPAL NAGAR PS,2016,2024,9,2981,1526,1455,1,169.56,0.38786617,0.38786617,61.21,13.01161742,77.46127402,HIGH
BENGALURU CITY,KALASIPALYA PS,2016,2024,9,3016,1556,1460,1,172.89,0.395536562,0.395536562,60.45,12.94860508,77.56395325,HIGH
BENGALURU CITY,R.T.NAGAR TRAFFIC PS,2016,2024,9,3128,1585,1543,1,176.11,0.402951275,0.402951275,59.7,13.03622866,77.61616503,HIGH
BENGALURU CITY,ADUGODI PS,2016,2024,9,3097,1587,1510,1,176.33,0.403462634,0.403462634,59.65,12.94311296,77.60493432,HIGH
BENGALURU CITY,KONANAKUNTE PS,2017,2024,8,2828,1475,1353,1,184.38,0.421967456,0.421967456,57.8,12.85781691,77.56638244,HIGH
BENGALURU CITY,SUDDAGUNTEPALYA PS,2020,2024,5,1856,937,919,1,187.4,0.428928337,0.428928337,57.11,12.90731206,77.58872624,HIGH
BENGALURU CITY,SANJAY NAGAR PS,2016,2024,9,3220,1691,1529,1,187.89,0.430053327,0.430053327,56.99,13.03990955,77.55935432,HIGH
BENGALURU CITY,ASHOKNAGAR PS,2018,2024,7,2591,1324,1267,1,189.14,0.432938856,0.432938856,56.71,12.94787517,77.60464591,HIGH
BENGALURU CITY,CITY MARKET PS,2016,2024,9,3337,1725,1612,1,191.67,0.438746439,0.438746439,56.13,12.96353806,77.57522693,HIGH
BENGALURU CITY,JAYANAGAR PS,2016,2024,9,3259,1755,1504,1,195,0.446416831,0.446416831,55.36,12.86079007,77.50123921,HIGH
BENGALURU CITY,ANNAPOORNESHWARI NAGAR PS,2017,2024,6,2193,1186,1007,1,197.67,0.452553145,0.452553145,54.74,12.94543133,77.50655964,HIGH
BENGALURU CITY,KAMAKSHIPALYA PS,2016,2024,7,2698,1394,1304,1,199.14,0.455950033,0.455950033,54.4,12.9833781,77.51305523,HIGH
BENGALURU CITY,AIRPORT PS,2016,2016,1,390,201,189,1,201,0.460223537,0.460223537,53.98,12.58038398,77.39752703,HIGH
BENGALURU CITY,SOUTH CEN CRIME PS,2020,2024,5,2038,1019,1019,1,203.8,0.466666667,0.466666667,53.33,12.82705858,77.53278434,HIGH
BENGALURU CITY,KENGERI PS,2016,2024,9,3746,1955,1791,1,217.22,0.49755278,0.49755278,50.24,12.86922103,77.48035957,HIGH
BENGALURU CITY,NORTHEAST CEN CRIME PS,2022,2024,3,1330,665,665,1,221.67,0.507779969,0.507779969,49.22,13.06093344,77.56314539,HIGH
BENGALURU CITY,YESHWANTHAPURA TRAFFIC PS,2016,2024,9,3944,2039,1905,1,226.56,0.519029878,0.519029878,48.1,13.03383056,77.53225982,HIGH
BENGALURU CITY,VARTHUR PS,2016,2024,9,3926,2060,1866,1,228.89,0.524399153,0.524399153,47.56,12.90125324,77.70695159,HIGH
BENGALURU CITY,MICO LAYOUT PS,2016,2024,7,3167,1617,1550,1,231,0.529257068,0.529257068,47.07,12.89373655,77.60138838,HIGH
BENGALURU CITY,DEVARAJEEVANAHALLI PS,2016,2024,9,4160,2140,2020,1,237.78,0.544853532,0.544853532,45.51,13.01860857,77.60913663,CRITICAL
BENGALURU CITY,PEENYA PS,2016,2024,9,4348,2255,2093,1,250.56,0.574256702,0.574256702,42.57,13.03516398,77.5031894,CRITICAL
BENGALURU CITY,PEENYA TRAFFIC PS,2016,2024,8,3880,2018,1862,1,252.25,0.578155819,0.578155819,42.18,13.03733969,77.50870217,CRITICAL
BENGALURU CITY,BASAVESHWARA NAGAR PS,2016,2024,9,4399,2303,2096,1,255.89,0.58652933,0.58652933,41.35,12.95572008,77.5394377,CRITICAL
BENGALURU CITY,H.A.L. PS,2018,2024,5,2560,1304,1256,1,260.8,0.597830375,0.597830375,40.22,12.93492263,77.66963475,CRITICAL
BENGALURU CITY,GOVINDARAJA NAGAR PS,2022,2024,3,1590,820,770,1,273.33,0.62667105,0.62667105,37.33,12.97240991,77.52843325,CRITICAL
BENGALURU CITY,NANDINI LAYOUT PS,2016,2024,9,5659,2984,2675,1,331.56,0.760647235,0.760647235,23.94,13.01696949,77.53155679,CRITICAL
BENGALURU CITY,CHANDRA LAYOUT PS,2016,2024,9,5633,2988,2645,1,332,0.761669954,0.761669954,23.83,12.90411833,77.4975997,CRITICAL
BENGALURU CITY,BYATARAYANAPURA PS,2016,2024,9,5601,2992,2609,1,332.44,0.762692673,0.762692673,23.73,12.92595715,77.53059459,CRITICAL
BENGALURU CITY,K.R. PURAM PS,2016,2024,9,6239,3393,2846,1,377,0.86522025,0.86522025,13.48,13.02535725,77.68260763,CRITICAL
BENGALURU DIST,HOSAHALLI PS,2019,2024,6,344,182,162,1,30.33,0.067499452,0.067499452,93.25,13.43750029,77.43771292,LOW
BENGALURU DIST,BENGALURU DIST WOMEN PS,2020,2024,5,698,395,303,1,79,0.179487179,0.179487179,82.05,13.30730378,77.51299271,MEDIUM
BENGALURU DIST,CHENNARAYAPATANA PS,2019,2024,6,926,508,418,1,84.67,0.192526846,0.192526846,80.75,13.19446587,77.76017261,MEDIUM
BENGALURU DIST,THYAMAGONDLU PS,2019,2024,6,1038,562,476,1,93.67,0.213236906,0.213236906,78.68,13.21685354,77.31264566,MEDIUM
BENGALURU DIST,SULIBELE PS,2019,2024,6,1101,594,507,1,99,0.225509533,0.225509533,77.45,13.16873338,77.81289436,MEDIUM
BENGALURU DIST,ANUGONDANAHALLI PS,2019,2024,6,1210,651,559,1,108.5,0.247370151,0.247370151,75.26,12.95302499,77.82182569,MEDIUM
BENGALURU DIST,THIRUMALASHETTAHALLI PS,2019,2024,6,1320,717,603,1,119.5,0.272682446,0.272682446,72.73,12.99535131,77.80162626,MEDIUM
BENGALURU DIST,VISHWANATHAPURA PS,2019,2024,6,1357,743,614,1,123.83,0.282653956,0.282653956,71.73,13.2494712,77.60502962,HIGH
BENGALURU DIST,DODDABELAVANGALA PS,2019,2024,6,1453,780,673,1,130,0.296844181,0.296844181,70.32,13.28008302,77.41914391,HIGH
BENGALURU DIST,BENGALURU CEN CRIME PS,2020,2024,5,1332,666,666,1,133.2,0.304207758,0.304207758,69.58,12.97334054,77.64525939,HIGH
BENGALURU DIST,DODDABALLAPURA TOWN PS,2019,2024,6,1489,800,689,1,133.33,0.304514574,0.304514574,69.55,13.2950123,77.5403794,HIGH
BENGALURU DIST,HOSAKOTE TRAFFIC PS,2023,2024,2,486,290,196,1,145,0.331360947,0.331360947,66.86,13.08617274,77.79892664,HIGH
BENGALURU DIST,VIJAYAPURA PS,2019,2024,6,1585,873,712,1,145.5,0.332511506,0.332511506,66.75,13.30212718,77.76858111,HIGH
BENGALURU DIST,DOBBESPET PS,2019,2024,6,1786,960,826,1,160,0.365877712,0.365877712,63.41,13.22259347,77.23847392,HIGH
BENGALURU DIST,NELAMANGALA TOWN PS,2019,2024,6,1800,968,832,1,161.33,0.368945869,0.368945869,63.11,13.09537893,77.39809505,HIGH
BENGALURU DIST,NANDAGUDI PS,2019,2024,6,1860,1024,836,1,170.67,0.390422967,0.390422967,60.96,13.1676988,77.90752241,HIGH
BENGALURU DIST,BANNERGHATTA PS,2019,2024,6,2017,1056,961,1,176,0.402695595,0.402695595,59.73,12.81451086,77.58317809,HIGH
BENGALURU DIST,RAJANUKUNTE PS,2019,2024,6,1944,1057,887,1,176.17,0.403079115,0.403079115,59.69,13.17042175,77.5465127,HIGH
BENGALURU DIST,SARJAPURA PS,2017,2024,8,2800,1486,1314,1,185.75,0.425131492,0.425131492,57.49,12.87065743,77.77181267,HIGH
BENGALURU DIST,JIGANI PS,2019,2024,6,2200,1183,1017,1,197.17,0.451402586,0.451402586,54.86,12.779936,77.63686908,HIGH
BENGALURU DIST,NELAMANGALA RURAL PS,2019,2024,6,2383,1258,1125,1,209.67,0.480166557,0.480166557,51.98,13.11624955,77.35585258,HIGH
BENGALURU DIST,ANEKAL PS,2019,2024,6,2472,1327,1145,1,221.17,0.50662941,0.50662941,49.34,12.71496214,77.69310677,HIGH
BENGALURU DIST,DODDABALLAPURA RURAL PS,2019,2024,6,2883,1583,1300,1,263.83,0.604810432,0.604810432,39.52,13.31395597,77.54834051,CRITICAL
BENGALURU DIST,AVALAHALLY PS,2019,2024,6,3154,1690,1464,1,281.67,0.64584703,0.64584703,35.42,13.05107168,77.72570385,CRITICAL
BENGALURU DIST,HOSAKOTE PS,2019,2024,6,3533,1904,1629,1,317.33,0.727920228,0.727920228,27.21,13.07623803,77.79209683,CRITICAL
BENGALURU DIST,SURYANAGAR PS,2019,2024,6,3640,1909,1731,1,318.17,0.729837826,0.729837826,27.02,12.79813643,77.7037124,CRITICAL
BENGALURU DIST,ATTIBELE PS,2019,2024,6,4052,2182,1870,1,363.67,0.834538681,0.834538681,16.55,12.76936791,77.75020489,CRITICAL
BENGALURU DIST,HEBBAGODI PS,2019,2024,6,4253,2263,1990,1,377.17,0.865603769,0.865603769,13.44,12.7979452,77.67769559,CRITICAL
BENGALURU DIST,NELAMANGALA TRAFFIC PS,2019,2024,6,4254,2399,1855,1,399.83,0.917762437,0.917762437,8.22,13.11724437,77.36815611,CRITICAL
BENGALURU DIST,MADANAYAKANAHALLY PS,2018,2024,7,5763,3049,2714,1,435.57,1,1,0,13.04323096,77.45102738,CRITICAL
BIDAR,BIDAR CEN CRIME PS,2019,2024,6,92,46,46,1,7.67,0.015340785,0.015340785,98.47,17.94385828,77.40916482,LOW
BIDAR,CHINTAKI PS,2019,2024,6,276,148,128,1,24.67,0.054459785,0.054459785,94.55,18.22165281,77.51744563,LOW
BIDAR,BIDAR WOMEN PS,2020,2024,5,232,134,98,1,26.8,0.059368836,0.059368836,94.06,17.85185095,77.4830105,LOW
BIDAR,BIDAR TOWN PS,2019,2024,6,335,175,160,1,29.17,0.064814815,0.064814815,93.52,17.91838505,77.5301299,LOW
BIDAR,SANTHAPUR PS,2019,2024,6,328,176,152,1,29.33,0.065198334,0.065198334,93.48,18.13096074,77.44956753,LOW
BIDAR,MEHAKAR PS,2019,2024,6,350,185,165,1,30.83,0.068650011,0.068650011,93.13,18.04701742,77.03960907,LOW
BIDAR,MANNALLI PS,2019,2024,6,346,186,160,1,31,0.069033531,0.069033531,93.1,17.74619878,77.47756953,LOW
BIDAR,KUSHNOOR PS,2019,2024,6,374,198,176,1,33,0.073635766,0.073635766,92.64,18.16577167,77.29906314,LOW
BIDAR,HOKRANA PS,2019,2024,6,373,201,172,1,33.5,0.074786325,0.074786325,92.52,18.36085797,77.31871114,LOW
BIDAR,HULSOOR PS,2019,2024,6,390,211,179,1,35.17,0.078621521,0.078621521,92.14,17.94536611,76.96945689,LOW
BIDAR,KHATAKA CHINCHOLI PS,2019,2024,6,416,220,196,1,36.67,0.082073197,0.082073197,91.79,17.94936002,77.18790428,LOW
BIDAR,BEMALKHED PS,2019,2024,6,404,221,183,1,36.83,0.082456717,0.082456717,91.75,17.65258852,77.39805997,LOW
BIDAR,MARKET PS,2019,2024,6,429,229,200,1,38.17,0.085524874,0.085524874,91.45,17.87901631,77.52235278,LOW
BIDAR,MUDBI PS,2019,2024,6,432,230,202,1,38.33,0.085908394,0.085908394,91.41,17.7088768,76.94164832,LOW
BIDAR,BAGDAL PS,2019,2024,6,436,232,204,1,38.67,0.086675433,0.086675433,91.33,17.36308383,77.3957036,LOW
BIDAR,BIDAR RURAL PS,2019,2024,6,460,247,213,1,41.17,0.092428227,0.092428227,90.76,17.8559583,77.49111882,LOW
BIDAR,KAMALANAGAR PS,2020,2024,5,457,246,211,1,49.2,0.110913872,0.110913872,88.91,18.2330027,77.21162314,LOW
BIDAR,JANWADA PS,2019,2024,6,591,322,269,1,53.67,0.121192198,0.121192198,87.88,17.95308018,77.4593186,LOW
BIDAR,BASAVA KALYANA RURAL PS,2019,2024,6,609,324,285,1,54,0.121959237,0.121959237,87.8,17.83506504,76.98319586,LOW
BIDAR,MANTHALA PS,2019,2024,6,619,327,292,1,54.5,0.123109796,0.123109796,87.69,17.75228528,76.80914261,LOW
BIDAR,BASAVA KALYANA TRAFFIC PS,2019,2024,6,595,329,266,1,54.83,0.123876835,0.123876835,87.61,17.83652915,76.94300416,LOW
BIDAR,BIDAR TRAFFIC PS,2019,2024,6,622,343,279,1,57.17,0.12924611,0.12924611,87.08,17.9099145,77.50970665,LOW
BIDAR,NEW TOWN PS,2019,2024,6,652,349,303,1,58.17,0.131547228,0.131547228,86.85,17.90493049,77.46606942,LOW
BIDAR,AURAD PS,2019,2024,6,688,369,319,1,61.5,0.13921762,0.13921762,86.08,18.24647923,77.41191816,MEDIUM
BIDAR,HALLIKHED PS,2019,2024,6,700,374,326,1,62.33,0.141135218,0.141135218,85.89,17.82948719,77.23158871,MEDIUM
BIDAR,BHALKI RURAL PS,2019,2024,6,719,388,331,1,64.67,0.146504493,0.146504493,85.35,18.06996554,77.20029148,MEDIUM
BIDAR,HUMNABAD TRAFFIC PS,2019,2024,6,697,398,299,1,66.33,0.150339689,0.150339689,84.97,17.78038564,77.13012766,MEDIUM
BIDAR,CHITAGUPPA PS,2017,2024,7,924,491,433,1,70.14,0.159105851,0.159105851,84.09,17.69255755,77.18182312,MEDIUM
BIDAR,GANDHI GUNJ PS,2019,2024,6,890,474,416,1,79,0.179487179,0.179487179,82.05,17.87121119,77.50583346,MEDIUM
BIDAR,MANNA EKHELLI PS,2019,2024,6,873,474,399,1,79,0.179487179,0.179487179,82.05,17.71633402,77.3271914,MEDIUM
BIDAR,BHALKI TOWN PS,2019,2024,6,925,491,434,1,81.83,0.186007013,0.186007013,81.4,18.04629923,77.21544083,MEDIUM
BIDAR,BASAVA KALYANA TOWN PS,2019,2024,6,986,517,469,1,86.17,0.195978523,0.195978523,80.4,17.85962832,76.94115534,MEDIUM
BIDAR,DHANNURA PS,2019,2024,6,1024,560,464,1,93.33,0.212469866,0.212469866,78.75,17.96193483,77.3228429,MEDIUM
BIDAR,HUMNABAD PS,2019,2024,6,1125,589,536,1,98.17,0.223591935,0.223591935,77.64,17.7898518,77.12922712,MEDIUM
CHAMARAJANAGAR,CHAMARAJANAGAR CEN CRIME PS,2019,2024,5,110,55,55,1,11,0.023011177,0.023011177,97.7,11.92560309,76.9310484,LOW
CHAMARAJANAGAR,CHAMRAJANAGAR WOMEN PS,2019,2024,5,90,60,30,1,12,0.025312295,0.025312295,97.47,11.9470915,76.95745642,LOW
CHAMARAJANAGAR,MAMBALI PS,2019,2024,4,165,86,79,1,21.5,0.047172913,0.047172913,95.28,12.12399129,77.05296811,LOW
CHAMARAJANAGAR,M.M. HILLS PS,2019,2024,5,237,125,112,1,25,0.055226824,0.055226824,94.48,12.0435902,77.59301523,LOW
CHAMARAJANAGAR,SANTEMARALLI PS,2019,2024,4,246,126,120,1,31.5,0.070184089,0.070184089,92.98,12.02672142,76.97634488,LOW
CHAMARAJANAGAR,CHAMARAJANAGAR TRAFFIC PS,2019,2024,6,401,226,175,1,37.67,0.084374315,0.084374315,91.56,11.93040532,76.91644095,LOW
CHAMARAJANAGAR,KUDERU PS,2019,2024,5,388,204,184,1,40.8,0.091584484,0.091584484,90.84,12.08846053,76.90192605,LOW
CHAMARAJANAGAR,CHAMARAJANAGAR RURAL PS,2019,2024,4,332,177,155,1,44.25,0.09952334,0.09952334,90.05,11.87027224,76.84372749,LOW
CHAMARAJANAGAR,TERAKANAMBI PS,2019,2024,6,551,285,266,1,47.5,0.107001972,0.107001972,89.3,11.80806144,76.77617155,LOW
CHAMARAJANAGAR,YELANDUR PS,2019,2024,5,457,240,217,1,48,0.108152531,0.108152531,89.18,12.04625799,77.04452547,LOW
CHAMARAJANAGAR,CHAMARAJANAGAR TOWN PS,2019,2024,6,572,297,275,1,49.5,0.111604208,0.111604208,88.84,11.89797679,76.91549426,LOW
CHAMARAJANAGAR,GUNDLUPETE PS,2019,2024,6,663,348,315,1,58,0.131163708,0.131163708,86.88,11.81199443,76.67220015,LOW
CHAMARAJANAGAR,HANUR PS,2019,2024,5,571,302,269,1,60.4,0.136686391,0.136686391,86.33,12.12736137,77.26589927,MEDIUM
CHAMARAJANAGAR,BEGUR PS,2019,2024,5,609,319,290,1,63.8,0.144510191,0.144510191,85.55,11.88708299,76.66050897,MEDIUM
CHAMARAJANAGAR,KOLLEGALA TOWN PS,2018,2024,7,970,502,468,1,71.71,0.162721893,0.162721893,83.73,12.15697059,77.10607589,MEDIUM
CHAMARAJANAGAR,RAMAPURA PS,2019,2024,6,959,514,445,1,85.67,0.194827964,0.194827964,80.52,12.00882076,77.41789877,MEDIUM
CHAMARAJANAGAR,CHAMARAJANAGAR EAST PS,2019,2024,4,825,428,397,1,107,0.243918475,0.243918475,75.61,11.77861821,77.0136944,MEDIUM
CHAMARAJANAGAR,KOLLEGALA RURAL PS,2019,2024,6,2100,1116,984,1,186,0.425706772,0.425706772,57.43,12.18291544,77.14870151,HIGH
CHICKBALLAPURA,CHIKKABALLAPURA WOMEN PS,2019,2024,5,224,126,98,1,25.2,0.055687048,0.055687048,94.43,13.4396296,77.72309118,LOW
CHICKBALLAPURA,CHINTAMANI TOWN PS,2020,2024,5,262,141,121,1,28.2,0.062590401,0.062590401,93.74,13.39583318,78.04722195,LOW
CHICKBALLAPURA,DIBBURAHALLI PS,2020,2024,5,266,144,122,1,28.8,0.063971072,0.063971072,93.6,13.5475244,77.89679222,LOW
CHICKBALLAPURA,CHICKBALLAPURA TOWN PS,2019,2024,5,303,158,145,1,31.6,0.070414201,0.070414201,92.96,13.42858659,77.72114846,LOW
CHICKBALLAPURA,BATLAHALLI PS,2021,2024,4,259,140,119,1,35,0.078238001,0.078238001,92.18,13.56540711,78.1467558,LOW
